ApplicationName,1,2,3,4,5,6
kalman-filter,1.281851729,1.283555251,1.285636367,1.287655451,1.680057665,1.665169683
floam,0.574116361,0.962452447,0.978699723,0.980587394,0.731053064,0.684602496
jetson-inference ,0.253305138,0.252551772,0.25237753,0.252422425,0.227693686,0.227442696
darknet-ros ,0.496543442,0.520590688,0.517298488,0.520377567,0.466453084,0.472182378
cuda-lane-detection,0.722669572,0.916164682,0.963946236,0.991103986,0.950189132,0.996798606
hybrid-astar,0.80088489,0.957893964,0.992595037,0.954684032,0.761162207,0.774526453
openMVG,0.782033153,1.290102559,1.780890667,2.232682122,2.406328552,2.96731893
