ApplicationName,1,2,3,4,5,6
kalman-filter,1,0.997712298,1.000992789,0.993971052,2.076614209,2.081283853
floam,1,0.990190583,0.961360544,0.967150287,0.965300546,0.974351903
jetson-inference ,1,1.324058295,1.323655308,1.321290172,1.272700586,1.270168872
darknet-ros ,1,0.99875467,0.990123457,0.985257985,0.997512438,1.006273526
cuda-lane-detection,1,1.44840698,1.516869517,1.67807595,2.061902971,2.028175237
hybrid-astar,1,1.124929253,1.126819709,1.110994628,1.052487435,1.052972496
openMVG,1,1.598940919,2.288489548,2.690913029,3.196903001,3.926041806
