ApplicationName,1,2,3,4,5,6
kalman-filter,0.922452617,0.920717199,0.92400592,0.921749232,1.915188563,1.919735959
floam,0.949744446,0.948265565,0.949874265,0.951050849,0.946860143,0.94271419
jetson-inference ,0.45944197,0.697544797,0.693271224,0.69166839,0.595078796,0.571920844
darknet-ros ,0.663975304,0.685755624,0.691023544,0.691424703,0.675430121,0.675558317
cuda-lane-detection,1.242737215,1.802321126,1.887020466,2.091823474,2.533981899,2.491930393
hybrid-astar,0.805255416,0.900761379,0.906399945,0.897085482,0.847106467,0.8470752
openMVG,0.613540718,1.025614937,1.494062509,1.951888457,2.185284403,2.803240398
