sample_id;timestamp;ipc_sensed;GPU_freq_set;power_cpu_w;power_gpu_w;power_mem_w;total_cpu_time_s;total_mem_access;total_llc_misses
0;0.050000000000000003;9.3089955886590854;1300;2.302;0.46000000000000002;1.2689999999999999;0.095000000000000001;19777405;271583
1;0.10000000000000001;27.685927020086243;1300;2.3780000000000001;0.46000000000000002;1.2717142857142858;0.066000000000000003;23828688;254540
2;0.14999999999999999;23.576601872969754;1300;2.4548749999999999;0.46000000000000002;1.288;0.13300000000000001;34766797;177530
3;0.20100000000000001;21.130683450819699;1300;2.4733749999999999;0.46000000000000002;1.288;0.07400000000000001;18387400;164152
4;0.251;20.122682132109347;1300;2.5310000000000001;0.46000000000000002;1.288;0.11800000000000001;25722413;253748
5;0.30099999999999999;24.720493312091346;1300;2.5961428571428575;0.46000000000000002;1.2988571428571429;0.15200000000000002;48449816;586207
6;0.35099999999999998;21.498784006278363;1300;2.6070000000000002;0.46000000000000002;1.3046249999999999;0.098000000000000004;19605961;78575
7;0.40200000000000002;21.509799639710277;1300;2.6743749999999999;0.46000000000000002;1.3069999999999999;0.11600000000000001;27229414;242264
8;0.45200000000000001;20.940399727309128;1300;2.6840000000000002;0.46000000000000002;1.3069999999999999;0.090999999999999998;19442920;143851
9;0.502;21.483194403214426;1300;2.6840000000000002;0.46000000000000002;1.2975000000000001;0.047;10163992;5498
10;0.55200000000000005;20.343291905914313;1300;2.6179999999999999;0.46000000000000002;1.288;0.066000000000000003;13578790;21485
11;0.60199999999999998;29.674831060991036;1300;2.5880000000000001;0.46000000000000002;1.288;0.060999999999999999;17169261;2902
12;0.65200000000000002;28.848938840811897;1300;2.5310000000000001;0.46000000000000002;1.2998749999999999;0.059999999999999998;16296787;2731
13;0.70299999999999996;11.899727597474975;1300;2.5310000000000001;0.46000000000000002;1.3155714285714286;0.0050000000000000001;866126;1257
14;0.753;33.931446223385251;1300;2.4540000000000002;0.46000000000000002;1.3351428571428572;0.058000000000000003;20415900;3801
15;0.80300000000000005;29.745337572932844;1300;2.4430000000000001;0.46000000000000002;1.3324285714285713;0.097000000000000003;30944215;1300
16;0.85299999999999998;19.199259835858431;1300;2.3772500000000001;0.46000000000000002;1.327;0.047;8496380;2175
17;0.90300000000000002;33.677422435695341;1300;2.3780000000000001;0.46000000000000002;1.3169999999999999;0.035000000000000003;12248982;1454
18;0.95299999999999996;31.035643379508905;1300;2.3128571428571427;0.46000000000000002;1.3069999999999999;0.073999999999999996;22893717;884
19;1.004;20.134738929562811;1300;2.302;0.46000000000000002;1.3069999999999999;0.043999999999999997;8271607;1143
20;1.054;18.454073508840278;1300;2.302;0.46000000000000002;1.2934285714285714;0.060999999999999999;9833371;897
21;1.1040000000000001;19.835244857291492;1300;2.2346249999999999;0.46000000000000002;1.288;0.062;10494279;748
22;1.1539999999999999;22.441064406454174;1300;2.1699999999999999;0.46000000000000002;1.2744285714285712;0.050000000000000003;9502555;4157
23;1.2050000000000001;12.57006553059523;1300;2.093;0.46000000000000002;1.2689999999999999;0.025000000000000001;3096072;4612
24;1.2549999999999999;12.169112011163676;1300;1.9950000000000001;0.46000000000000002;1.2554285714285713;0.023;2918992;4488
25;1.3049999999999999;12.107152806248489;1300;1.9083749999999999;0.46000000000000002;1.2450000000000001;0.027000000000000003;2988329;4230
26;1.355;11.672199718210637;1300;1.907;0.46000000000000002;1.23;0.016;2009553;1541
