sample_id;timestamp;gpuPower;total_instr;total_cpu_time_s
0;0.20200000000000001;460;147754953;0.21500000000000002
1;0.40400000000000003;460;148148413;0.222
2;0.60599999999999998;460;221472965;0.20900000000000002
3;0.80800000000000005;460;142288154;0.21600000000000003
4;1.01;460;168085842;0.22500000000000001
5;1.212;460;164689769;0.21600000000000003
6;1.4139999999999999;460;85275289;0.21500000000000002
7;1.615;460;41237226;0.082000000000000003
8;1.8169999999999999;460;42160698;0.072000000000000008
9;2.0179999999999998;460;100859448;0.152
10;2.2189999999999999;460;150630485;0.22
11;2.4209999999999998;460;190161206;0.222
12;2.6240000000000001;460;337184227;0.222
13;2.8250000000000002;460;680826659;0.21800000000000003
14;3.0259999999999998;460;723413232;0.23400000000000001
15;3.2330000000000001;460;742711159;0.26400000000000001
16;3.4409999999999998;460;938856405;0.56400000000000006
17;3.6440000000000001;460;960430780;0.50900000000000001
18;3.8500000000000001;460;1009343944;0.497
19;4.0570000000000004;460;903993368;0.45100000000000001
20;4.2590000000000003;460;888689168;0.47200000000000003
21;4.4640000000000004;460;777344496;0.29899999999999999
22;4.665;460;735723531;0.21700000000000003
23;4.867;460;745403897;0.22600000000000001
24;5.0679999999999996;460;740216660;0.21600000000000003
25;5.2699999999999996;460;746340686;0.22900000000000001
26;5.4710000000000001;460;739062353;0.219
27;5.6719999999999997;460;740269956;0.224
28;5.8739999999999997;460;746242149;0.22900000000000001
29;6.0750000000000002;460;750205696;0.224
30;6.2759999999999998;460;758767255;0.222
31;6.4770000000000003;460;748713267;0.223
32;6.6849999999999996;460;1089162685;0.41799999999999998
33;6.8869999999999996;460;857853093;0.31900000000000006
34;7.0880000000000001;460;756180483;0.21700000000000003
35;7.2889999999999997;460;756686627;0.20900000000000002
36;7.4900000000000002;460;761661830;0.21800000000000003
37;7.6909999999999998;460;753454050;0.22100000000000003
38;7.8929999999999998;460;760321108;0.22600000000000001
39;8.0939999999999994;460;756437003;0.222
40;8.2949999999999999;460;760848300;0.21400000000000002
41;8.4960000000000004;460;759421592;0.21400000000000002
42;8.6969999999999992;460;760745096;0.21700000000000003
43;8.8989999999999991;460;762618884;0.22000000000000003
44;9.0999999999999996;460;766760437;0.21900000000000003
45;9.3010000000000002;460;768965625;0.22600000000000001
46;9.5060000000000002;460;895489203;0.433
47;9.7100000000000009;460;980437819;0.55999999999999994
48;9.9130000000000003;460;1135591851;0.58400000000000007
49;10.115;460;899235172;0.43099999999999999
50;10.32;460;900566818;0.44699999999999995
51;10.522;460;913065661;0.39700000000000008
52;10.723000000000001;460;768748043;0.21300000000000002
53;10.923999999999999;460;767833255;0.23300000000000001
54;11.125;460;764975209;0.21400000000000002
55;11.327;460;764047660;0.222
56;11.528;460;760899221;0.21200000000000002
57;11.728999999999999;460;770747936;0.21200000000000002
58;11.930999999999999;460;672769714;0.22699999999999998
59;12.132;460;773532878;0.21200000000000002
60;12.333;460;768914830;0.21900000000000003
61;12.534000000000001;460;773590823;0.21200000000000002
62;12.736000000000001;460;776809922;0.21500000000000002
63;12.936999999999999;460;773995036;0.22800000000000001
64;13.138;460;768501026;0.22200000000000003
65;13.34;460;773924992;0.21100000000000002
66;13.541;460;775698630;0.21800000000000003
67;13.742000000000001;460;774520678;0.21500000000000002
68;13.943;460;776328091;0.222
69;14.145;460;772547179;0.21600000000000003
70;14.346;460;775733259;0.21700000000000003
71;14.547000000000001;460;772141214;0.21400000000000002
72;14.747999999999999;460;778312170;0.21200000000000002
73;14.949;460;774310868;0.223
74;15.151;460;775083177;0.22100000000000003
75;15.352;460;776131281;0.21300000000000002
76;15.557;460;848558896;0.33599999999999997
77;15.760999999999999;460;941357658;0.57099999999999995
78;15.962999999999999;460;1020039473;0.52100000000000002
79;16.169;460;1112966919;0.51300000000000001
80;16.370999999999999;460;902245229;0.44900000000000007
81;16.574999999999999;460;974407405;0.47200000000000003
82;16.777000000000001;460;793643803;0.251
83;16.98;460;798210341;0.22200000000000003
84;17.187000000000001;460;806458028;0.22599999999999998
85;17.388000000000002;460;780836214;0.22
86;17.588999999999999;460;781997308;0.20700000000000002
87;17.791;460;784139633;0.21100000000000002
88;17.995000000000001;460;800302919;0.23299999999999998
89;18.196000000000002;460;780339784;0.21200000000000002
90;18.396999999999998;460;791408038;0.21800000000000003
91;18.597999999999999;460;775303689;0.21500000000000002
92;18.800000000000001;460;776795732;0.21500000000000002
93;19.003;460;788219906;0.22300000000000003
94;19.204000000000001;460;769225953;0.21800000000000003
95;19.405999999999999;460;780840294;0.21700000000000003
96;19.606999999999999;460;773029292;0.22000000000000003
97;19.809000000000001;460;783832883;0.222
98;20.010999999999999;460;775359647;0.22900000000000001
99;20.218;460;529534492;0.185
100;20.420000000000002;460;5466663;0.017999999999999999
101;20.622;460;5479837;0.018000000000000002
102;20.823;460;5501152;0.013000000000000001
103;21.024999999999999;460;16714779;0.050000000000000003
104;21.227;460;224924821;0.22700000000000001
105;21.428999999999998;460;178262318;0.21600000000000003
106;21.631;460;174261990;0.26700000000000002
107;21.847000000000001;460;411350146;0.57400000000000007
108;22.050999999999998;460;353649363;0.53500000000000003
109;22.254999999999999;460;472136242;0.56899999999999995
110;22.457000000000001;460;328373936;0.42699999999999999
111;22.658999999999999;460;155252716;0.27500000000000002
112;22.863;460;739092881;0.81899999999999995
113;23.067;460;365873505;0.52400000000000002
114;23.274000000000001;460;525646509;0.53600000000000003
115;23.478000000000002;460;557550794;0.54000000000000004
116;23.681000000000001;460;616149180;0.54700000000000004
117;23.885999999999999;460;676650900;0.58100000000000007
118;24.088999999999999;460;739438276;0.56300000000000006
119;24.292999999999999;460;729860397;0.56300000000000006
120;24.498000000000001;460;860369182;0.57099999999999995
121;24.702000000000002;460;849976225;0.60199999999999998
122;24.905000000000001;460;889289529;0.59600000000000009
123;25.108000000000001;460;914687695;0.59099999999999997
124;25.312000000000001;460;851188631;0.58400000000000007
125;25.515000000000001;460;916838671;0.59200000000000008
126;25.719000000000001;460;923991372;0.58400000000000007
127;25.922000000000001;460;897018783;0.60399999999999998
128;26.126000000000001;460;883842612;0.58199999999999996
129;26.329000000000001;460;924282025;0.58000000000000007
130;26.533000000000001;460;930678800;0.58000000000000007
131;26.736000000000001;460;907420250;0.59100000000000008
132;26.940000000000001;460;888443746;0.60400000000000009
133;27.143000000000001;460;900996150;0.56900000000000006
134;27.347000000000001;460;902949108;0.59100000000000008
135;27.550000000000001;460;961726667;0.58900000000000008
136;27.754000000000001;460;900530008;0.58800000000000008
137;27.957000000000001;460;997040799;0.69799999999999995
138;28.16;460;1091169580;0.97000000000000008
139;28.363;460;1151660704;0.84900000000000009
140;28.567;460;1177508063;0.88700000000000001
141;28.768999999999998;460;1146270338;0.86099999999999988
142;28.972000000000001;460;1107904007;0.93500000000000005
143;29.175000000000001;459.96666666666664;943070814;0.68100000000000005
144;29.379000000000001;460;919286384;0.60000000000000009
145;29.582000000000001;460;899611528;0.6120000000000001
146;29.786000000000001;460;916448033;0.58500000000000008
147;29.989000000000001;460;912419102;0.57700000000000007
148;30.193000000000001;460;924493903;0.63400000000000012
149;30.396000000000001;460;912561274;0.60799999999999998
150;30.600000000000001;460;889622580;0.55900000000000005
151;30.803000000000001;460;877082850;0.60099999999999998
152;31.007000000000001;460;951657769;0.57000000000000006
153;31.210000000000001;460;932339594;0.59600000000000009
154;31.414000000000001;460;896679626;0.59599999999999997
155;31.617000000000001;460;896285307;0.60100000000000009
156;31.821000000000002;460;949002415;0.59500000000000008
157;32.024000000000001;460;948896810;0.60400000000000009
158;32.228000000000002;460;911831223;0.54300000000000004
159;32.432000000000002;460;910280945;0.64500000000000013
160;32.634999999999998;460;899891014;0.59200000000000008
161;32.838000000000001;460;806802120;0.32400000000000007
162;33.039999999999999;460;160494652;0.070000000000000007
163;33.241;460;53677155;0.13999999999999999
164;33.442999999999998;460;6268483;0.016000000000000004
165;33.645000000000003;460;5798226;0.013999999999999999
166;33.845999999999997;460;5825472;0.020999999999999998
167;34.048000000000002;460;37385436;0.061999999999999993
168;34.256;460;209094930;0.38399999999999995
169;34.459000000000003;460;138115320;0.26500000000000001
170;34.667000000000002;460;344735165;0.35899999999999999
171;34.869;460;181390601;0.23399999999999999
172;35.073999999999998;460;141209728;0.25800000000000001
173;35.276000000000003;460;143445647;0.28400000000000003
174;35.478000000000002;460;32484763;0.062
175;35.679000000000002;460;5899792;0.014999999999999999
176;35.881;460;5947531;0.014999999999999999
177;36.082999999999998;460;6772552;0.023000000000000003
178;36.284999999999997;460;15553347;0.034000000000000002
179;36.487000000000002;460;5885737;0.016
180;36.689;460;5843534;0.017000000000000001
181;36.890000000000001;460;5980377;0.014999999999999999
182;37.091999999999999;460;6015479;0.02
183;37.293999999999997;460;5889299;0.021000000000000005
184;37.496000000000002;460;5809848;0.017000000000000001
185;37.697000000000003;460;5909681;0.016
186;37.899000000000001;460;5980368;0.017999999999999999
187;38.100999999999999;460;5835674;0.014999999999999999
