sample_id;timestamp;ipc_sensed;GPU_freq_set;power_cpu_w;power_gpu_w;power_mem_w;total_cpu_time_s;total_mem_access;total_llc_misses
0;4294967.3459999999;23.090978544467898;1300;1.6879999999999999;0.153;1.2110000000000001;0.059999999999999998;14689825;78756
1;4294967.3959999997;28.379932079295131;1300;1.6879999999999999;0.153;1.2110000000000001;0.053000000000000005;14368880;6879
2;4294967.4460000005;32.049894353112435;1300;1.7531428571428571;0.153;1.2110000000000001;0.083999999999999991;26524065;5728
3;4294967.4960000003;25.528757419533498;1300;1.764;0.153;1.2110000000000001;0.071999999999999995;15953376;36607
4;4294967.5470000003;44.212629954431222;1300;1.764;0.153;1.2110000000000001;0.021000000000000001;8282097;4974
5;4294967.5970000001;23.516505887948924;1300;1.819;0.153;1.2110000000000001;0.085000000000000006;19241948;20491
6;4294967.6469999999;34.070507780787736;1300;1.841;0.153;1.2110000000000001;0.091999999999999998;34155776;42498
7;4294967.6969999997;23.692406285079183;1300;1.841;0.153;1.2110000000000001;0.071000000000000008;15867422;23687
8;4294967.7470000004;45.585665836180624;1300;1.841;0.153;1.23;0.027;11390418;5658
9;4294967.7970000003;35.476389849145832;1300;1.885;0.153;1.23;0.11;35218552;19299
10;4294967.8470000001;28.543877509270466;1300;1.8987499999999999;0.153;1.23;0.062000000000000006;17177081;6940
11;4294967.898;46.005625276573149;1300;1.9179999999999999;0.153;1.23;0.087000000000000008;33355167;61182
12;4294967.9479999999;48.456228844794126;1300;1.850625;0.153;1.23;0.026000000000000002;11470259;451108
13;4294967.9979999997;44.797108893960605;1300;1.7314285714285713;0.153;1.2245714285714286;0.023;8495194;60611
14;4294968.0480000004;61.961941355198633;1300;1.621375;0.153;1.2110000000000001;0.013999999999999999;7646960;4682
15;4294968.0990000004;51.947296268088344;1300;1.502;0.153;1.2055714285714287;0.019000000000000003;7429783;4048
16;4294968.1490000002;64.356085746267922;1300;1.425;0.153;1.1919999999999999;0.014000000000000002;7916633;2563
17;4294968.199;58.614507513906958;1300;1.3525;0.153;1.1919999999999999;0.01;6420627;1670
18;4294968.2489999998;63.524167357656161;1300;1.294;0.153;1.1777500000000001;0.012;7698551;1452
19;4294968.2999999998;59.494695659240513;1300;1.228;0.153;1.173;0.019;7727979;2702
20;4294968.3499999996;61.49589941667579;1300;1.1895;0.153;1.173;0.018000000000000002;7221719;548
21;4294968.4000000004;56.808846562996145;1300;1.129;0.153;1.1587142857142858;0.013000000000000001;6366238;710
22;4294968.4500000002;62.557579565524989;1300;1.0740000000000001;0.153;1.153;0.016;7545555;380
23;4294968.5;58.334792583343244;1300;1.0547500000000001;0.153;1.153;0.014;7049759;656
24;4294968.551;61.306336426042058;1300;1.03;0.153;1.153;0.010999999999999999;7415093;771
25;4294968.6009999998;61.317821448439723;1300;0.997;0.153;1.153;0.01;6695083;616
26;4294968.6509999996;64.65820901163066;1300;0.94950000000000001;0.153;1.153;0.016;8182948;830
27;4294968.7010000004;63.405048129914029;1300;0.92100000000000004;0.153;1.1339999999999999;0.0080000000000000002;7725988;660
28;4294968.7510000002;64.963684636733547;1300;0.86599999999999999;0.153;1.1339999999999999;0.010999999999999999;7732527;815
29;4294968.8020000001;56.226237731842133;1300;0.84399999999999997;0.153;1.1339999999999999;0.014;6778323;936
30;4294968.852;67.298157445437496;1300;0.84399999999999997;0.153;1.1339999999999999;0.016;7903577;455
31;4294968.9019999998;63.165191408529196;1300;0.84399999999999997;0.153;1.1339999999999999;0.016;7207800;428
32;4294968.9519999996;47.058494728737266;1300;0.82474999999999998;0.153;1.1435;0.019;11150400;439612
33;4294969.0029999996;59.721091684736734;1300;0.84399999999999997;0.153;1.1421428571428571;0.014999999999999999;7079758;5530
34;4294969.0530000003;61.956376117513372;1300;0.84399999999999997;0.153;1.1339999999999999;0.014999999999999999;7136586;1194
35;4294969.1030000001;62.927903550346642;1300;0.84399999999999997;0.153;1.1339999999999999;0.014;7892673;1070
36;4294969.1529999999;60.979869026727293;1300;0.82228571428571429;0.153;1.1339999999999999;0.012;6506768;696
37;4294969.2039999999;57.643237912740354;1300;0.8155;0.153;1.1339999999999999;0.012;6782204;1490
38;4294969.2539999997;59.428492221209694;1300;0.76800000000000002;0.153;1.1339999999999999;0.014;6513857;3791
39;4294969.3039999995;61.848798952397949;1300;0.76800000000000002;0.153;1.1339999999999999;0.012;7369371;1138
40;4294969.3540000003;60.310092707257887;1300;0.75837500000000002;0.153;1.1339999999999999;0.010999999999999999;6834809;514
41;4294969.4040000001;57.126677640523639;1300;0.746;0.153;1.1339999999999999;0.0090000000000000011;7034176;649
42;4294969.4550000001;63.385867304366016;1300;0.75700000000000001;0.153;1.1339999999999999;0.014999999999999999;7794203;674
43;4294969.5049999999;65.40869960798149;1300;0.72950000000000004;0.153;1.1339999999999999;0.013000000000000001;8399611;672
44;4294969.5549999997;60.479668436248488;1300;0.76800000000000002;0.153;1.1339999999999999;0.01;6808153;578
45;4294969.6050000004;61.221347985907073;1300;0.69099999999999995;0.153;1.1339999999999999;0.014;7185447;550
46;4294969.6550000003;59.137107319146153;1300;0.71987500000000004;0.153;1.1339999999999999;0.012;6506855;519
47;4294969.7060000002;63.774902388299232;1300;0.746;0.153;1.1339999999999999;0.013999999999999999;8133196;549
48;4294969.7560000001;60.479892151054351;1300;0.71025000000000005;0.153;1.1204285714285713;0.010999999999999999;6608526;630
49;4294969.8059999999;60.450806737225555;1300;0.75700000000000001;0.153;1.115;0.014000000000000002;7496880;628
