sample_id;timestamp;GPU_freq_set;power_cpu_w;power_gpu_w;power_mem_w;total_cpu_time_s;total_mem_access;total_llc_misses
0;0.050000000000000003;1300;1.3375714285714286;0.153;1.1919999999999999;0.028000000000000004;2755931;25569
1;0.10100000000000001;1300;1.272;0.153;1.1872499999999999;0.002;668457;3523
2;0.151;1300;1.17025;0.153;1.173;0.0080000000000000002;713518;1467
3;0.20100000000000001;1300;1.0740000000000001;0.153;1.173;0.0040000000000000001;680594;833
4;0.252;1300;1.0066250000000001;0.153;1.173;0.022000000000000002;3901240;54644
5;0.30199999999999999;1300;0.92100000000000004;0.153;1.1555;0.0030000000000000001;690715;3823
6;0.35199999999999998;1300;0.86324999999999996;0.153;1.153;0.0070000000000000001;440581;2259
7;0.40300000000000002;1300;0.82199999999999995;0.153;1.153;0.0030000000000000001;360744;522
8;0.45300000000000001;1300;0.76749999999999996;0.153;1.153;0.0040000000000000001;445080;612
9;0.503;1300;0.746;0.153;1.145875;0.0050000000000000001;422870;926
10;0.55400000000000005;1300;0.69099999999999995;0.153;1.1339999999999999;0.01;455132;1697
11;0.60399999999999998;1300;0.68137499999999995;0.153;1.1339999999999999;0.0080000000000000002;420824;382
12;0.65500000000000003;1300;0.61399999999999999;0.153;1.1339999999999999;0.0060000000000000001;463191;857
13;0.70499999999999996;1300;0.59199999999999997;0.153;1.1339999999999999;0.0050000000000000001;386817;293
14;0.755;1300;0.58512500000000001;0.153;1.1339999999999999;0.0040000000000000001;482393;343
15;0.80600000000000005;1300;0.53700000000000003;0.153;1.1339999999999999;0.0030000000000000001;374436;234
16;0.85599999999999998;1300;0.53700000000000003;0.153;1.1339999999999999;0.002;499016;385
17;0.90600000000000003;1300;0.53700000000000003;0.153;1.1339999999999999;0.0060000000000000001;382597;225
18;0.95699999999999996;1300;0.53700000000000003;0.153;1.1339999999999999;0.0030000000000000001;471563;204
19;1.0069999999999999;1300;0.53700000000000003;0.153;1.1339999999999999;0.0060000000000000001;404648;211
20;1.0569999999999999;1300;0.53700000000000003;0.153;1.1339999999999999;0.0060000000000000001;437980;122
21;1.1080000000000001;1300;0.53700000000000003;0.153;1.122125;0.0030000000000000001;425841;94
22;1.1579999999999999;1300;0.46000000000000002;0.153;1.115;0.0040000000000000001;437520;248
23;1.208;1300;0.46000000000000002;0.153;1.115;0.0030000000000000001;422503;64
24;1.2589999999999999;1300;0.46000000000000002;0.153;1.115;0.0070000000000000001;439829;139
25;1.3089999999999999;1300;0.46000000000000002;0.153;1.115;0.002;401548;109
26;1.359;1300;0.46000000000000002;0.153;1.115;0.0050000000000000001;475906;747
27;1.4099999999999999;1300;0.46000000000000002;0.153;1.115;0.0050000000000000001;388219;207
28;1.46;1300;0.46000000000000002;0.153;1.115;0.0050000000000000001;473724;232
29;1.51;1300;0.46000000000000002;0.153;1.115;0.0030000000000000001;380714;124
30;1.5609999999999999;1300;0.46000000000000002;0.153;1.115;0.0040000000000000001;468992;263
31;1.611;1300;0.46000000000000002;0.153;1.115;0.0040000000000000001;375591;130
32;1.661;1300;0.46000000000000002;0.153;1.115;0.0030000000000000001;488767;344
33;1.712;1300;0.46000000000000002;0.153;1.115;0.001;389494;231
34;1.762;1300;0.42199999999999999;0.153;1.115;0.0050000000000000001;482101;444
35;1.8120000000000001;1300;0.38400000000000001;0.153;1.115;0.0030000000000000001;404423;116
36;1.863;1300;0.38400000000000001;0.153;1.115;0.0030000000000000001;459912;240
37;1.913;1300;0.40300000000000002;0.153;1.115;0.002;433741;167
38;1.9630000000000001;1300;0.43828571428571428;0.153;1.115;0.0070000000000000001;413221;175
39;2.0139999999999998;1300;0.38400000000000001;0.153;1.115;0.0030000000000000001;457974;161
40;2.0640000000000001;1300;0.40571428571428575;0.153;1.115;0.0070000000000000001;408050;230
41;2.1139999999999999;1300;0.46000000000000002;0.153;1.115;0.0030000000000000001;442211;91
42;2.1640000000000001;1300;0.44914285714285718;0.153;1.115;0.0030000000000000001;424979;196
43;2.2149999999999999;1300;0.41657142857142854;0.153;1.115;0.0040000000000000001;422926;76
44;2.2650000000000001;1300;0.38400000000000001;0.153;1.115;0.0050000000000000001;447298;114
45;2.3159999999999998;1300;0.41657142857142854;0.153;1.115;0.0070000000000000001;429757;218
46;2.3660000000000001;1300;0.46000000000000002;0.153;1.115;0.0040000000000000001;442026;277
47;2.4159999999999999;1300;0.44914285714285718;0.153;1.115;0.0030000000000000001;428951;251
48;2.4670000000000001;1300;0.38400000000000001;0.153;1.115;0.0040000000000000001;429940;152
49;2.5169999999999999;1300;0.39485714285714285;0.153;1.115;0.0050000000000000001;427691;151
50;2.5670000000000002;1300;0.46000000000000002;0.153;1.115;0.0030000000000000001;498761;1167
51;2.617;1300;0.41657142857142854;0.153;1.115;0.0050000000000000001;455171;270
52;2.6680000000000001;1300;0.40571428571428575;0.153;1.115;0.0040000000000000001;400645;505
53;2.718;1300;0.38400000000000001;0.153;1.115;0.0050000000000000001;474466;157
54;2.7679999999999998;1300;0.38400000000000001;0.153;1.115;0.002;392060;156
55;2.819;1300;0.38400000000000001;0.153;1.115;0.0060000000000000001;477443;85
56;2.8690000000000002;1300;0.38400000000000001;0.153;1.115;0.0070000000000000001;424734;206
57;2.919;1300;0.38400000000000001;0.153;1.115;0.0030000000000000001;459871;99
58;2.9700000000000002;1300;0.38400000000000001;0.153;1.115;0.0040000000000000001;404459;238
59;3.02;1300;0.38400000000000001;0.153;1.115;0.002;438836;142
60;3.0710000000000002;1300;0.38400000000000001;0.153;1.115;0.0070000000000000001;442332;157
61;3.121;1300;0.38400000000000001;0.153;1.115;0.0040000000000000001;431113;153
62;3.1709999999999998;1300;0.38400000000000001;0.153;1.115;0.0040000000000000001;431003;110
63;3.2210000000000001;1300;0.38400000000000001;0.153;1.115;0.0050000000000000001;442871;76
64;3.2719999999999998;1300;0.38400000000000001;0.153;1.115;0.0050000000000000001;421571;100
65;3.3220000000000001;1300;0.38400000000000001;0.153;1.115;0.0060000000000000001;443444;138
66;3.3719999999999999;1300;0.38400000000000001;0.153;1.115;0.0040000000000000001;428838;431
67;3.423;1300;0.38400000000000001;0.153;1.115;0.0040000000000000001;483628;339
68;3.4729999999999999;1300;0.38400000000000001;0.153;1.115;0.002;392080;153
69;3.5230000000000001;1300;0.38400000000000001;0.153;1.115;0.0060000000000000001;459703;237
70;3.5739999999999998;1300;0.38400000000000001;0.153;1.115;0.0090000000000000011;422750;219
71;3.6240000000000001;1300;0.38400000000000001;0.153;1.115;0.002;433588;182
72;3.6739999999999999;1300;0.38400000000000001;0.153;1.115;0.0040000000000000001;438878;1231
73;3.7250000000000001;1300;0.38400000000000001;0.153;1.115;0.0050000000000000001;410209;256
74;3.7749999999999999;1300;0.38400000000000001;0.153;1.115;0.0050000000000000001;447585;269
75;3.8250000000000002;1300;0.38400000000000001;0.153;1.115;0.002;401182;290
76;3.8759999999999999;1300;0.38400000000000001;0.153;1.115;0.0050000000000000001;463991;167
77;3.9260000000000002;1300;0.38400000000000001;0.153;1.115;0.0060000000000000001;407611;217
78;3.976;1300;0.38400000000000001;0.153;1.115;0.0040000000000000001;460534;154
79;4.0270000000000001;1300;0.38400000000000001;0.153;1.115;0.0030000000000000001;418034;117
80;4.077;1300;0.38400000000000001;0.153;1.115;0.002;437367;149
81;4.1269999999999998;1300;0.38400000000000001;0.153;1.115;0.0030000000000000001;444554;95
82;4.1779999999999999;1300;0.38400000000000001;0.153;1.115;0.002;418720;79
83;4.2279999999999998;1300;0.38400000000000001;0.153;1.115;0.0040000000000000001;476505;168
84;4.2779999999999996;1300;0.38400000000000001;0.153;1.115;0.0040000000000000001;507353;2291
85;4.3289999999999997;1300;0.38400000000000001;0.153;1.115;0.0050000000000000001;469186;544
