sample_id;timestamp;ipc_sensed;GPU_freq_set;power_cpu_w;power_gpu_w;power_mem_w;total_cpu_time_s;total_mem_access;total_llc_misses
0;0.050000000000000003;1.797013018164108;1300;1.3267142857142857;0.46000000000000002;1.1919999999999999;0.058999999999999997;9223997;77594
1;0.10299999999999999;15.771108890465984;1300;1.4095;0.46000000000000002;1.19675;0.062;9037020;16630
2;0.154;19.834117195643532;1300;1.505125;0.46000000000000002;1.2110000000000001;0.052999999999999999;10607347;4290
3;0.20399999999999999;21.749941703393016;1300;1.589;0.46000000000000002;1.2110000000000001;0.053999999999999999;12443736;13443
4;0.255;14.263027184861508;1300;1.6623333333333332;0.46000000000000002;1.2141666666666668;0.058000000000000003;7850770;25157
5;0.30599999999999999;15.886375349907425;1300;1.726;0.46000000000000002;1.23;0.052000000000000005;8603557;1862
6;0.35599999999999998;13.848905230817076;1300;1.786;0.46000000000000002;1.23;0.026000000000000002;3354455;16516
7;0.41099999999999998;24.7025205465963;1300;1.86025;0.46000000000000002;1.23;0.095000000000000001;21361211;8477
8;0.46200000000000002;24.346289300551238;1300;1.9728571428571429;0.46000000000000002;1.2471428571428571;0.14000000000000001;40906737;316700
9;0.51200000000000001;29.481732219065652;1300;2.1383749999999999;0.46000000000000002;1.25;0.092999999999999999;33572959;225284
10;0.56299999999999994;25.857677834379587;1300;2.2922500000000001;0.46000000000000002;1.2642500000000001;0.215;62368325;398432
11;0.61399999999999999;32.03579497080581;1300;2.4257499999999999;0.46000000000000002;1.276125;0.13700000000000001;47706471;264355
12;0.66400000000000003;38.083978455955034;1300;2.5594999999999999;0.46000000000000002;1.288;0.13500000000000001;63084331;240679
13;0.71599999999999997;25.234326940875142;1300;2.6400000000000001;0.46000000000000002;1.2951250000000001;0.20400000000000001;55395354;533945
14;0.76600000000000001;34.143445763239718;1300;2.7225000000000001;0.46000000000000002;1.3069999999999999;0.10399999999999998;48190756;417560
15;0.81699999999999995;27.347666889346865;1300;2.8187500000000001;0.46000000000000002;1.3069999999999999;0.218;65916738;248330
16;0.86699999999999999;34.424909119358631;1300;2.8855;0.46000000000000002;1.3155714285714286;0.10300000000000001;42231076;639473
17;0.91800000000000004;25.265235286877108;1300;2.9359999999999999;0.46000000000000002;1.338875;0.17200000000000001;41396833;408622
18;0.96899999999999997;28.513864909039956;1300;2.9910000000000001;0.46000000000000002;1.365;0.154;46552964;827479
19;1.0209999999999999;26.13955243426259;1300;3.0569999999999999;0.46000000000000002;1.3812857142857142;0.19;54979430;833211
20;1.0720000000000001;26.956916388087816;1300;3.1154999999999999;0.46000000000000002;1.3839999999999999;0.14999999999999999;42833722;740226
21;1.1220000000000001;24.778921267397184;1300;3.1440000000000001;0.46000000000000002;1.403;0.17000000000000001;47328418;664613
22;1.173;17.228719929516807;1300;3.086875;0.46000000000000002;1.39825;0.061000000000000006;9650886;43114
23;1.224;17.153875392030706;1300;2.9580000000000002;0.46000000000000002;1.3839999999999999;0.054999999999999993;7613229;4161
24;1.274;19.286254653327131;1300;2.8488571428571428;0.46000000000000002;1.3704285714285713;0.059000000000000004;8676288;5715
25;1.325;19.760688937886453;1300;2.7225000000000001;0.46000000000000002;1.365;0.054999999999999993;8702484;1118
26;1.375;18.026209862943109;1300;2.6509999999999998;0.46000000000000002;1.3460000000000001;0.060999999999999999;9692437;32706
27;1.4259999999999999;23.918186828697792;1300;2.5852857142857144;0.46000000000000002;1.3460000000000001;0.055000000000000007;9102467;5245
28;1.4770000000000001;18.33987332823278;1300;2.4925000000000002;0.46000000000000002;1.33175;0.056000000000000001;8425105;4196
29;1.5269999999999999;18.496880477980064;1300;2.4104285714285716;0.46000000000000002;1.327;0.053000000000000005;8133737;1317
30;1.5780000000000001;18.586838439756693;1300;2.3454285714285716;0.46000000000000002;1.3155714285714286;0.055999999999999994;8320728;1960
31;1.6279999999999999;19.002578860168409;1300;2.302;0.46000000000000002;1.3069999999999999;0.056000000000000001;8569326;2879
32;1.679;18.737636066994671;1300;2.2346249999999999;0.46000000000000002;1.3069999999999999;0.055999999999999994;8184056;2787
33;1.7290000000000001;18.855695244990208;1300;2.181;0.46000000000000002;1.296142857142857;0.052000000000000005;8205928;1357
34;1.78;19.216226711905335;1300;2.1480000000000001;0.46000000000000002;1.288;0.056999999999999995;8489310;1362
35;1.8300000000000001;19.17587312178469;1300;2.0902500000000002;0.46000000000000002;1.288;0.057000000000000002;8494480;1187
36;1.881;19.303319069490513;1300;2.0710000000000002;0.46000000000000002;1.288;0.055999999999999994;8573655;1065
37;1.931;19.41946816159037;1300;1.9950000000000001;0.46000000000000002;1.288;0.056000000000000001;8647116;1189
38;1.982;19.386681226641034;1300;1.9950000000000001;0.46000000000000002;1.2852857142857141;0.053000000000000005;8552523;1146
39;2.032;19.446144037112795;1300;1.9510000000000001;0.46000000000000002;1.2689999999999999;0.056000000000000001;8634769;924
40;2.0830000000000002;19.115742654362297;1300;1.9179999999999999;0.46000000000000002;1.2689999999999999;0.055999999999999994;8592151;1957
41;2.133;18.811019901330063;1300;1.9179999999999999;0.46000000000000002;1.2689999999999999;0.052000000000000005;8439017;2908
42;2.1850000000000001;14.928951418386134;1300;1.8891249999999999;0.46000000000000002;1.2689999999999999;0.033000000000000002;4161617;3125
43;2.2349999999999999;11.319644594569787;1300;1.7095714285714287;0.46000000000000002;1.25;0.001;685377;1068
44;2.2850000000000001;10.788603585918073;1300;1.5780000000000001;0.46000000000000002;1.2357142857142858;0.0060000000000000001;746199;1118
