sample_id;timestamp;ipc_sensed;GPU_freq_set;power_cpu_w;power_gpu_w;power_mem_w;total_cpu_time_s;total_mem_access;total_llc_misses
0;0.050000000000000003;13.164690525126693;1300;1.3919999999999999;0.46000000000000002;1.1919999999999999;0.052000000000000005;6690958;66046
1;0.10100000000000001;41.296423063186673;1300;1.381;0.46000000000000002;1.2001428571428572;0.053999999999999999;30773140;252220
2;0.151;19.074955960250673;1300;1.381;0.46000000000000002;1.2110000000000001;0.056000000000000008;9844361;28124
3;0.20200000000000001;12.91024614025442;1300;1.4097500000000001;0.46000000000000002;1.2110000000000001;0.024;2987657;14990
4;0.252;18.492384987120261;1300;1.4570000000000001;0.46000000000000002;1.2110000000000001;0.079000000000000001;13275758;17983
5;0.30299999999999999;25.145873990634321;1300;1.4570000000000001;0.46000000000000002;1.2110000000000001;0.058000000000000003;13549694;4289
6;0.35299999999999998;24.949501126555013;1300;1.534;0.46000000000000002;1.2110000000000001;0.060999999999999999;14912585;57759
7;0.40400000000000003;19.28600957049866;1300;1.534;0.46000000000000002;1.2110000000000001;0.052999999999999999;9081580;2559
8;0.45400000000000001;23.997943001564998;1300;1.534;0.46000000000000002;1.2110000000000001;0.049000000000000002;11424895;1001
9;0.505;37.230175597952005;1300;1.5725;0.46000000000000002;1.2204999999999999;0.054000000000000006;17127161;1112
10;0.55500000000000005;35.601620091026341;1300;1.611;0.46000000000000002;1.23;0.052000000000000005;18554944;621
11;0.60599999999999998;35.469021359162056;1300;1.611;0.46000000000000002;1.25475;0.053999999999999999;16288238;1237
12;0.65600000000000003;36.982612723867284;1300;1.655;0.46000000000000002;1.2798571428571428;0.052000000000000005;22715377;591
13;0.70699999999999996;23.704497856036845;1300;1.6879999999999999;0.46000000000000002;1.2689999999999999;0.053000000000000005;12074117;3541
14;0.75700000000000001;15.743529523242277;1300;1.6879999999999999;0.46000000000000002;1.2689999999999999;0.028000000000000004;4691886;31195
15;0.80800000000000005;10.527318512294499;1300;1.6879999999999999;0.46000000000000002;1.2689999999999999;0.040000000000000001;3605562;1383
16;0.85899999999999999;14.852332207314392;1300;1.6879999999999999;0.46000000000000002;1.2689999999999999;0.096000000000000002;12792268;35602
17;0.90900000000000003;22.948356987772346;1300;1.6879999999999999;0.46000000000000002;1.2689999999999999;0.064000000000000001;13854778;2661
18;0.95999999999999996;19.7513697682305;1300;1.6879999999999999;0.46000000000000002;1.258142857142857;0.042999999999999997;8069134;1439
19;1.01;34.884238748720797;1300;1.6879999999999999;0.46000000000000002;1.25;0.055999999999999994;18488377;802
20;1.0609999999999999;19.994235379573517;1300;1.6879999999999999;0.46000000000000002;1.25;0.049999999999999996;8983454;7040
21;1.111;21.460588071474501;1300;1.6879999999999999;0.46000000000000002;1.25;0.065000000000000002;13102676;651
22;1.1619999999999999;24.009738797017487;1300;1.6879999999999999;0.46000000000000002;1.25;0.053999999999999999;12722269;498
23;1.212;21.256392422182646;1300;1.6879999999999999;0.46000000000000002;1.25;0.0060000000000000001;1987368;530
24;1.2629999999999999;25.914329257058206;1300;1.678375;0.46000000000000002;1.25;0.097000000000000003;23525785;5242
25;1.3129999999999999;9.2407483974197362;1300;1.677;0.46000000000000002;1.25;0.0080000000000000002;847105;596
26;1.363;11.970448243730196;1300;1.659125;0.46000000000000002;1.23;0.058000000000000003;6332278;455
27;1.4139999999999999;12.933801793722267;1300;1.6879999999999999;0.46000000000000002;1.23;0.10200000000000001;11832943;16568
28;1.464;14.470109400899835;1300;1.659125;0.46000000000000002;1.23;0.032000000000000001;4822003;8073
29;1.5149999999999999;17.902557293771288;1300;1.556;0.46000000000000002;1.2137142857142857;0.015000000000000003;2208685;4318
30;1.5649999999999999;21.698032142543124;1300;1.4381250000000001;0.46000000000000002;1.2110000000000001;0.02;2551817;3945
31;1.615;25.632594670248746;1300;1.337;0.46000000000000002;1.2110000000000001;0.014999999999999999;2512898;3392
32;1.6659999999999999;17.968318876431898;1300;1.304875;0.46000000000000002;1.2110000000000001;0.021000000000000001;3638039;45095
33;1.716;20.029378856437681;1300;1.2607142857142857;0.46000000000000002;1.2110000000000001;0.016;2696551;3732
34;1.766;22.514736479094868;1300;1.206;0.46000000000000002;1.2110000000000001;0.019;2630251;968
35;1.8169999999999999;21.270319840828783;1300;1.151;0.46000000000000002;1.2110000000000001;0.016;3011754;432
36;1.867;16.660739840750779;1300;1.151;0.46000000000000002;1.2110000000000001;0.031;4235638;20335
37;1.9179999999999999;19.225573546118557;1300;1.1619999999999999;0.46000000000000002;1.2110000000000001;0.021000000000000001;3374798;591
38;1.968;24.567153520841369;1300;1.199125;0.46000000000000002;1.2110000000000001;0.019;3822493;1151
39;2.0179999999999998;22.560393309112847;1300;1.25;0.46000000000000002;1.2110000000000001;0.059999999999999998;10611310;235
40;2.0680000000000001;22.769577497280387;1300;1.3042499999999999;0.46000000000000002;1.2110000000000001;0.063;11194888;268
41;2.1190000000000002;21.477845372664017;1300;1.337;0.46000000000000002;1.2110000000000001;0.058000000000000003;10324850;128
42;2.169;21.648304894112773;1300;1.381;0.46000000000000002;1.2110000000000001;0.063;10876680;354
43;2.2189999999999999;16.571326976044258;1300;1.3918571428571429;0.46000000000000002;1.2110000000000001;0.0070000000000000001;1129999;216
44;2.27;22.574981182789585;1300;1.4570000000000001;0.46000000000000002;1.2110000000000001;0.057999999999999996;9982394;242
45;2.3199999999999998;24.453702650075027;1300;1.4570000000000001;0.46000000000000002;1.2110000000000001;0.060999999999999999;12058352;234
46;2.371;29.517248093065007;1300;1.55325;0.46000000000000002;1.2110000000000001;0.059999999999999998;14264654;487
47;2.4209999999999998;38.2595107698139;1300;1.611;0.46000000000000002;1.2110000000000001;0.060999999999999999;16820151;2420
