sample_id;timestamp;GPU_freq_set;power_cpu_w;power_gpu_w;power_mem_w;total_cpu_time_s;total_mem_access;total_llc_misses
0;0.051999999999999998;1300;1.611;0.46000000000000002;1.2110000000000001;0.060000000000000005;7365875;59800
1;0.10199999999999999;1300;1.589;0.46000000000000002;1.2110000000000001;0.040000000000000001;15767379;136608
2;0.153;1300;1.534;0.46000000000000002;1.2110000000000001;0.029000000000000001;5924675;49965
3;0.20300000000000001;1300;1.5449999999999999;0.46000000000000002;1.2110000000000001;0.048999999999999995;16034460;2848
4;0.254;1300;1.543625;0.46000000000000002;1.2110000000000001;0.014;1444669;356
5;0.30399999999999999;1300;1.512;0.46000000000000002;1.2110000000000001;0.024;5627419;466
6;0.35499999999999998;1300;1.4354285714285713;0.46000000000000002;1.2110000000000001;0.019;5020164;69
7;0.40500000000000003;1300;1.3525;0.46000000000000002;1.2110000000000001;0.014999999999999999;4349308;364
8;0.45600000000000002;1300;1.3158571428571428;0.46000000000000002;1.2204999999999999;0.01;1425459;128
9;0.50600000000000001;1300;1.272;0.46000000000000002;1.2272857142857143;0.016;4494491;258
10;0.55600000000000005;1300;1.218375;0.46000000000000002;1.23;0.017000000000000001;4841569;97
11;0.60699999999999998;1300;1.151;0.46000000000000002;1.23;0.02;4838738;145
12;0.65700000000000003;1300;1.107;0.46000000000000002;1.23;0.016;3892364;424
13;0.70799999999999996;1300;1.0836250000000001;0.46000000000000002;1.23;0.010999999999999999;1473271;61
14;0.75800000000000001;1300;1.0740000000000001;0.46000000000000002;1.23;0.02;4924136;181
15;0.80900000000000005;1300;1.0189999999999999;0.46000000000000002;1.23;0.017000000000000001;4881054;53
16;0.85899999999999999;1300;1.0258750000000001;0.46000000000000002;1.23;0.017999999999999999;4949559;102
17;0.91000000000000003;1300;0.997;0.46000000000000002;1.23;0.012999999999999999;4714630;60
18;0.95999999999999996;1300;0.997;0.46000000000000002;1.23;0.035000000000000003;5684942;39731
19;1.0109999999999999;1300;1.2492857142857141;0.46000000000000002;1.296142857142857;0.29999999999999999;128635929;559495
20;1.0609999999999999;1300;1.716375;0.46000000000000002;1.3145;0.25;169239934;112776
21;1.1120000000000001;1300;2.2053750000000001;0.46000000000000002;1.327;0.30499999999999999;189855548;124434
22;1.1619999999999999;1300;2.665;0.46000000000000002;1.327;0.30399999999999999;194424092;129912
23;1.2130000000000001;1300;3.0772499999999998;0.46000000000000002;1.327;0.35499999999999998;230446891;174927
24;1.264;1300;3.4174285714285717;0.46000000000000002;1.3787142857142858;0.25599999999999995;231465655;1476338
25;1.3149999999999999;1300;3.6222500000000002;0.46000000000000002;1.49475;0.24999999999999997;168812592;2390760
